,SMARTPHONE_W63,SNSUSE_W63,VIDEOGAME_W63,TIMESPEND_a_W63,TIMESPEND_b_W63,TIMESPEND_c_W63,DOV_KIDS0TO11_W63,DOV_KIDS12PLUS_W63,KIDSATHOME_W63,EASYHARD_W63,PARENTTIME_W63,PARENTJOB_W63,SHARENTING1_W63,SHARENTING2_a_W63,SHARENTING2_b_W63,SHARENTING2_c_W63,SHARENTING3_a_W63,SHARENTING3_b_W63,SHARENTING3_c_W63,SHARENTING3_d_W63,SHARENTING4_W63,SHARENTING5_W63,SHARENTING6_W63,RISKBEN_W63,MOBILEHELP_a_W63,MOBILEHELP_b_W63,MOBILEHELP_c_W63,MOBILEHELP_d_W63,MOBILEHELP_e_W63,ACCEPTUSE_a_W63,ACCEPTUSE_b_W63,ACCEPTOWN_a_W63,ACCEPTOWN_b_W63,REGCONTENT_a_W63,REGCONTENT_b_W63,REGCONTENT_c_W63,APPRO_W63,DISTRACTED_W63
11,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,Too little time,Too little time,2,0,Yes,Harder than it was 20 years ago,Too much time together,A good job,"Yes, I have done this",Major reason,Major reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a lot,Help a lot,Help a lot,Refused,Help a little,5-8 years old,5-8 years old,5-8 years old,5-8 years old,Some,Some,Some,Somewhat confident,Sometimes
12,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Rarely,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a lot,Help a little,Help a little,Hurt a little,This is not acceptable for children,12-14 years old,15-17 years old,12-14 years old,Some,Not much,A lot,Somewhat confident,Sometimes
13,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,4,1,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a lot,Hurt a little,Make no difference,Hurt a lot,15-17 years old or older,5-8 years old,12-14 years old,9-11 years old,A lot,Some,A lot,Not too confident,Often
14,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a lot,Help a lot,Help a little,Hurt a lot,Help a lot,12-14 years old,3-4 years old,12-14 years old,0-2 years old,Not much,Not much,A lot,Very confident,Sometimes
15,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,3,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Minor reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Make no difference,Make no difference,Make no difference,Make no difference,Make no difference,12-14 years old,5-8 years old,12-14 years old,5-8 years old,Not much,Not much,A lot,Very confident,Refused
16,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,2,2,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Often,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a little,Hurt a lot,Hurt a little,12-14 years old,5-8 years old,15-17 years old,5-8 years old,Some,Some,A lot,Not too confident,Sometimes
17,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,2,0,Yes,Harder than it was 20 years ago,Too little time together,Only a fair job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Help a little,Hurt a little,Help a little,15-17 years old or older,5-8 years old,12-14 years old,5-8 years old,A lot,A lot,A lot,Very confident,Sometimes
18,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Often,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Make no difference,Make no difference,Make no difference,Make no difference,Make no difference,15-17 years old or older,5-8 years old,12-14 years old,5-8 years old,Not much,Some,A lot,Very confident,Sometimes
19,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"No, I have never done this",NA,NA,NA,Major reason,Not a reason,Major reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a little,Hurt a little,12-14 years old,9-11 years old,15-17 years old,5-8 years old,Some,Some,A lot,Very confident,Sometimes
20,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",About the right amount of time,NA,NA,2,1,Yes,About the same,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Help a little,Help a little,Help a little,Hurt a little,This is not acceptable for children,5-8 years old,12-14 years old,5-8 years old,Some,A lot,A lot,Somewhat confident,Sometimes
21,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too little time,2,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a little,Hurt a lot,Hurt a lot,15-17 years old or older,5-8 years old,12-14 years old,12-14 years old,Some,None at all,A lot,Very confident,Sometimes
22,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Often,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a little,Hurt a little,Hurt a little,15-17 years old or older,5-8 years old,12-14 years old,5-8 years old,Some,Some,A lot,Somewhat confident,Often
23,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,2,0,Yes,About the same,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Major reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a lot,Help a little,Hurt a lot,Hurt a lot,15-17 years old or older,5-8 years old,12-14 years old,12-14 years old,A lot,Some,A lot,Not too confident,Often
24,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too little time,Too little time,1,0,No,About the same,Too little time together,Only a fair job,"No, I have never done this",NA,NA,NA,Major reason,Not a reason,Major reason,Major reason,Too much about their young children,Often,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a lot,Hurt a lot,Hurt a little,12-14 years old,5-8 years old,12-14 years old,5-8 years old,A lot,A lot,Not much,Somewhat confident,Rarely
25,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,Too little time,1,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Make no difference,Help a little,Help a little,Hurt a little,15-17 years old or older,5-8 years old,12-14 years old,3-4 years old,Not much,None at all,A lot,Very confident,Rarely
26,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,1,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Not a reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,This is not acceptable for children,This is not acceptable for children,This is not acceptable for children,0-2 years old,A lot,A lot,A lot,Somewhat confident,Rarely
27,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Minor reason,Major reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a little,Help a little,Help a little,Help a little,Help a little,12-14 years old,3-4 years old,12-14 years old,3-4 years old,Not much,Not much,A lot,Somewhat confident,Sometimes
28,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,3,2,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Make no difference,Help a little,Help a lot,Hurt a little,12-14 years old,5-8 years old,12-14 years old,5-8 years old,Some,None at all,A lot,Somewhat confident,Often
29,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,2,0,Yes,Harder than it was 20 years ago,Too little time together,A very good job,"No, I have never done this",NA,NA,NA,Major reason,Not a reason,Minor reason,Minor reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Help a lot,Help a little,Hurt a little,12-14 years old,5-8 years old,12-14 years old,15-17 years old,A lot,Some,A lot,Very confident,Rarely
30,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Make no difference,Help a little,Help a lot,Hurt a little,15-17 years old or older,9-11 years old,15-17 years old,5-8 years old,Some,Some,A lot,Somewhat confident,Rarely
31,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",Too much time,NA,NA,2,1,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Help a little,Hurt a lot,Hurt a little,Hurt a lot,12-14 years old,5-8 years old,12-14 years old,9-11 years old,Some,Some,A lot,Somewhat confident,Sometimes
32,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,3,0,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Help a little,Hurt a little,Hurt a little,Hurt a little,15-17 years old or older,5-8 years old,15-17 years old,9-11 years old,A lot,Some,A lot,Somewhat confident,Sometimes
33,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,4,1,Yes,Harder than it was 20 years ago,Too little time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Not a reason,Not a reason,Major reason,Too much about their young children,Rarely,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a little,Hurt a lot,Hurt a lot,This is not acceptable for children,15-17 years old or older,This is not acceptable for children,This is not acceptable for children,Some,Some,A lot,Somewhat confident,Sometimes
34,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"No, I have never done this",NA,NA,NA,Major reason,Not a reason,Minor reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,5-8 years old,12-14 years old,9-11 years old,A lot,Some,A lot,Somewhat confident,Sometimes
35,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,1,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Minor reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Help a little,Help a little,Help a little,Hurt a little,15-17 years old or older,9-11 years old,12-14 years old,9-11 years old,Some,Not much,A lot,Somewhat confident,Sometimes
36,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,3,0,Yes,Easier than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a little,Hurt a little,Hurt a lot,This is not acceptable for children,9-11 years old,15-17 years old,5-8 years old,A lot,A lot,A lot,Very confident,Sometimes
37,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,2,1,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Often,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a little,Hurt a lot,Hurt a lot,15-17 years old or older,5-8 years old,15-17 years old,5-8 years old,A lot,A lot,A lot,Very confident,Sometimes
38,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,Too much time,NA,1,0,No,About the same,Too little time together,Only a fair job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Rarely,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Help a little,Make no difference,Hurt a little,This is not acceptable for children,This is not acceptable for children,12-14 years old,12-14 years old,None at all,None at all,A lot,Somewhat confident,Sometimes
39,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too little time,3,0,Yes,About the same,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Not a reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Often,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a lot,Make no difference,Hurt a lot,12-14 years old,5-8 years old,15-17 years old,15-17 years old,Not much,Not much,A lot,Very confident,Sometimes
40,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,4,0,No,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Help a little,Help a little,Hurt a lot,15-17 years old or older,5-8 years old,15-17 years old,15-17 years old,A lot,Some,A lot,Somewhat confident,Sometimes
41,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,Too little time,1,1,Yes,Harder than it was 20 years ago,Too little time together,A very good job,"Yes, I have done this",Minor reason,Minor reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Make no difference,Make no difference,Make no difference,Make no difference,Make no difference,15-17 years old or older,12-14 years old,12-14 years old,9-11 years old,A lot,A lot,A lot,Somewhat confident,Sometimes
42,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,2,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a lot,Hurt a lot,Hurt a little,15-17 years old or older,9-11 years old,15-17 years old,This is not acceptable for children,Some,Some,A lot,Somewhat confident,Sometimes
43,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,2,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Minor reason,Major reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Help a little,Help a little,Hurt a little,Hurt a little,12-14 years old,9-11 years old,12-14 years old,9-11 years old,A lot,Some,A lot,Very confident,Sometimes
44,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,Too little time,Too little time,1,0,Yes,Easier than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Not a reason,Not a reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a lot,Help a little,Help a lot,Help a lot,Help a lot,12-14 years old,5-8 years old,12-14 years old,9-11 years old,Some,Not much,A lot,Very confident,Sometimes
45,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,1,1,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,5-8 years old,12-14 years old,12-14 years old,A lot,A lot,A lot,Very confident,Sometimes
46,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,About the right amount of time,NA,4,0,No,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Refused,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Help a little,Hurt a little,Hurt a little,12-14 years old,9-11 years old,15-17 years old,12-14 years old,A lot,Some,A lot,Somewhat confident,Often
47,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,Too much time,NA,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a little,Hurt a lot,Help a little,12-14 years old,5-8 years old,9-11 years old,5-8 years old,Some,A lot,A lot,Somewhat confident,Sometimes
48,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,Too little time,2,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Major reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Sometimes,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a lot,Hurt a little,Help a little,Hurt a lot,Hurt a little,12-14 years old,5-8 years old,12-14 years old,9-11 years old,Some,Not much,Some,Very confident,Sometimes
49,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,2,0,Yes,About the same,The right amount of time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Not a reason,Not a reason,Not a reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Make no difference,Make no difference,Make no difference,Make no difference,12-14 years old,3-4 years old,12-14 years old,3-4 years old,Some,None at all,A lot,Somewhat confident,Sometimes
50,"Yes, I have a smartphone","No, I do not use social media sites","Yes, I play video games",Too much time,NA,Too much time,4,2,Yes,Harder than it was 20 years ago,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a little,Hurt a lot,15-17 years old or older,3-4 years old,12-14 years old,3-4 years old,A lot,A lot,A lot,Somewhat confident,Often
51,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,1,0,Yes,About the same,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Often,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Help a little,Help a little,Hurt a little,Hurt a little,12-14 years old,5-8 years old,12-14 years old,3-4 years old,Some,Some,A lot,Not too confident,Sometimes
